"","age","job","marital","education","credit_in_default","housing_loan","personal_loan","last_contact_type","last_contact_month","last_contact_day","last_contact_duration","n_contacts_this_campaign","days_since_last_contact","n_contacts_prev_campaign","prev_campaign_outcome","registered","married_or_not","education_category"
"1",38,"student - Albufeira","divorced","unknown","no","no","no","cellular","may","tue",244,3,999,0,"nonexistent","no","not married","unknown"
"2",34,"services - Mealhada","married","professional.course","no","no","no","cellular","may","mon",190,3,999,0,"nonexistent","no","married","unknown"
"3",43,"housemaid - Vila Franca de Xira","","","unknown","yes","yes","cellular","jul","thu",97,2,999,0,"nonexistent","no","not married","unknown"
"4",75,"retired - Mirandela","married","basic.4y","no","no","no","cellular","oct","wed",113,2,999,0,"nonexistent","no","married","high school or less"
"5",58,"retired - Funchal","married","unknown","no","unknown","unknown","telephone","may","tue",174,1,999,0,"nonexistent","no","married","unknown"
"6",30,"admin. - Ponte de Sor","single","university.degree","no","no","no","cellular","may","wed",82,2,999,1,"failure","no","not married","university"
"7",29,"services - Queluz","single","high.school","no","yes","no","cellular","nov","wed",178,1,999,1,"failure","no","not married","high school or less"
"8",32,"admin. - Esmoriz","divorced","basic.9y","no","yes","no","cellular","jul","mon",118,3,999,0,"nonexistent","no","not married","high school or less"
"9",32,"blue-collar - Chaves","","university.degree","unknown","yes","no","cellular","nov","tue",63,1,999,0,"nonexistent","no","not married","university"
"10",24,"technician - Agualva-Cacém","","professional.course","unknown","no","no","telephone","may","mon",149,4,999,0,"nonexistent","no","not married","unknown"
"11",45,"blue-collar - Valongo","married","basic.4y","no","no","no","telephone","jul","fri",NA,1,999,0,"nonexistent","no","married","high school or less"
"12",32,"technician - Portimão","single","professional.course","no","no","yes","cellular","jul","tue",NA,1,999,0,"nonexistent","no","not married","unknown"
"13",50,"unknown - Peniche","married","basic.4y","unknown","no","yes","cellular","may","tue",77,4,999,1,"failure","no","married","high school or less"
"14",33,"services - Vila Nova de Famalicão","divorced","high.school","no","yes","yes","telephone","may","wed",NA,3,999,0,"nonexistent","no","not married","high school or less"
"15",53,"blue-collar - Trancoso","married","unknown","no","no","no","cellular","aug","mon",115,1,999,0,"nonexistent","no","married","unknown"
"16",36,"blue-collar - Funchal","married","basic.9y","no","yes","no","cellular","may","mon",156,1,999,1,"failure","no","married","high school or less"
"17",32,"technician - Rebordosa","single","high.school","no","no","no","cellular","aug","mon",111,5,999,0,"nonexistent","no","not married","high school or less"
"18",28,"blue-collar - Trancoso","married","basic.9y","no","yes","no","telephone","jun","wed",NA,1,999,0,"nonexistent","no","married","high school or less"
"19",41,"blue-collar - Almada","married","basic.9y","unknown","no","no","telephone","may","thu",NA,2,999,0,"nonexistent","no","married","high school or less"
"20",50,"blue-collar - Loulé","divorced","high.school","unknown","no","yes","telephone","may","mon",200,2,999,0,"nonexistent","no","not married","high school or less"
"21",51,"","married","basic.4y","unknown","yes","yes","cellular","jul","mon",297,3,999,0,"nonexistent","no","married","high school or less"
"22",51,"blue-collar - Almada","married","basic.9y","unknown","yes","no","telephone","jun","mon",NA,1,999,0,"nonexistent","no","married","high school or less"
"23",29,"blue-collar - Almada","married","basic.9y","no","yes","no","cellular","may","fri",14,4,999,0,"nonexistent","no","married","high school or less"
"24",28,"admin. - Macedo de Cavaleiros","","university.degree","no","yes","no","telephone","jul","mon",160,10,999,0,"nonexistent","no","not married","university"
"25",34,"admin. - Queluz","single","university.degree","no","no","yes","telephone","may","wed",NA,4,999,0,"nonexistent","no","not married","university"
"26",34,"blue-collar - Gondomar","married","unknown","no","yes","no","cellular","may","tue",NA,1,999,1,"failure","no","married","unknown"
"27",44,"technician - Setúbal","divorced","professional.course","no","no","yes","telephone","jul","mon",107,3,999,0,"nonexistent","no","not married","unknown"
"28",55,"technician - Portalegre","married","professional.course","no","yes","yes","cellular","aug","mon",NA,4,999,0,"nonexistent","no","married","unknown"
"29",42,"admin. - Póvoa de Santa Iria","single","high.school","no","no","no","cellular","jul","fri",163,1,999,0,"nonexistent","no","not married","high school or less"
"30",48,"technician - Sines","single","professional.course","no","yes","no","cellular","may","wed",142,2,999,0,"nonexistent","no","not married","unknown"
"31",31,"admin. - Santo Tirso","divorced","high.school","no","no","no","telephone","jun","fri",111,3,999,0,"nonexistent","no","not married","high school or less"
"32",31,"blue-collar - Rio Tinto","married","basic.6y","no","yes","no","cellular","nov","mon",NA,1,999,2,"failure","no","married","high school or less"
"33",29,"blue-collar - Fafe","single","","no","no","no","cellular","jul","mon",135,2,999,0,"nonexistent","no","not married","unknown"
